Word,file1_col1,file1_col2,file2_col1,file2_col2,file2_col3,file2_col4,file2_col5,file2_col6,file2_col7,file2_col8,file2_col9,file2_col10,file2_col11,file2_col12,file2_col13,file2_col14,file2_col15,file2_col16,file2_col17,file2_col18
criticize,2346,criticize,criticize,criticizes,criticized,criticizing,criticise,criticises,criticised,criticising,criticisings,,,,,,,,,
critique,4706,critique,critique,critiques,critiqued,critiquing,critiquings,,,,,,,,,,,,,
crop,2036,crop,crop,crops,cropped,cropping,croppings,,,,,,,,,,,,,
cross,1025,cross,cross,crosses,crossed,crossing,crossings,,,,,,,,,,,,,
crowd,1237,crowd,crowd,crowds,crowded,crowding,crowdings,,,,,,,,,,,,,
crucial,2033,crucial,crucial,crucials,,,,,,,,,,,,,,,,
crude,4118,crude,crude,cruder,crudest,,,,,,,,,,,,,,,
cruise,3447,cruise,cruise,cruises,cruised,cruising,cruisings,,,,,,,,,,,,,
cry,1252,cry,cry,cries,cried,crying,cryed,,,,,,,,,,,,,
crystal,3675,crystal,crystal,crystals,,,,,,,,,,,,,,,,
cue,4396,cue,cue,cues,cued,cueing,cueings,,,,,,,,,,,,,
cultural,1315,cultural,cultural,culturals,,,,,,,,,,,,,,,,
culture,618,culture,culture,cultures,cultured,culturing,culturings,,,,,,,,,,,,,
cup,1541,cup,cup,cups,cupped,cupping,cuppings,,,,,,,,,,,,,
cure,2974,cure,cure,cures,cured,curing,curings,,,,,,,,,,,,,
curious,2593,curious,curious,curiouser,,,,,,,,,,,,,,,,
currency,2194,currency,currency,currencies,,,,,,,,,,,,,,,,
current,640,current,current,currents,,,,,,,,,,,,,,,,
currently,1343,currently,currently,,,,,,,,,,,,,,,,,
curriculum,2930,curriculum,curriculum,curriculums,curricula,,,,,,,,,,,,,,,
curtain,2828,curtain,curtain,curtains,curtained,curtaining,curtainings,,,,,,,,,,,,,
curve,2270,curve,curve,curves,curved,curving,curvings,,,,,,,,,,,,,
cushion,5001,cushion,cushion,cushions,cushioned,cushioning,cushionings,,,,,,,,,,,,,
custom,2421,custom,custom,customs,,,,,,,,,,,,,,,,
customer,537,customer,customer,customers,,,,,,,,,,,,,,,,
cut,506,cut,cut,cuts;cutted,cutted;cutting,cutting;cuttings,cuttings,,,,,,,,,,,,,
cycle,1444,cycle,cycle,cycles,cycled,cycling,cyclings,,,,,,,,,,,,,
dad,1682,dad,dad,daddy;dads,daddies;daddy,daddies,,,,,,,,,,,,,,
daily,1005,daily,daily,dailies,,,,,,,,,,,,,,,,
damage,958,damage,damage,damages,damaged,damaging,damagings,,,,,,,,,,,,,
damn,2621,damn,damn,damns,damned,damning,damnings,,,,,,,,,,,,,
damp,4258,damp,damp,damps,damped,damping,dampings,dampest,,,,,,,,,,,,
dance,1009,dance,dance,dances,danced,dancing,danceing,danceings,,,,,,,,,,,,
danger,1466,danger,danger,dangers,,,,,,,,,,,,,,,,
dangerous,1469,dangerous,dangerous,,,,,,,,,,,,,,,,,
dare,2451,dare,dare,dares,dared,daring,darings,,,,,,,,,,,,,
dark,973,dark,dark,darker,darkest,,,,,,,,,,,,,,,
darkness,2830,darkness,darkness,darknesses,,,,,,,,,,,,,,,,
data,606,data,data,datas,datum,,,,,,,,,,,,,,,
database,2195,database,database,databases,,,,,,,,,,,,,,,,
date,533,date,date,dated;dates,dated;dating,dating;datings,datings,,,,,,,,,,,,,
daughter,977,daughter,daughter,daughters,,,,,,,,,,,,,,,,
day,135,day,day,daies;days,daies,,,,,,,,,,,,,,,
dead,997,dead,dead,deader,deadest,,,,,,,,,,,,,,,
deadline,3342,deadline,deadline,deadlines,,,,,,,,,,,,,,,,
deal,371,deal,deal,dealed;deals,dealed;dealing,dealing;dealt,dealings;dealt,dealings,,,,,,,,,,,,
dealer,2334,dealer,dealer,dealers,,,,,,,,,,,,,,,,
dear,1451,dear,dear,dearer;dears,dearer;dearest,dearest,,,,,,,,,,,,,,
death,555,death,death,deaths,,,,,,,,,,,,,,,,
debate,988,debate,debate,debates,debated,debating,debatings,,,,,,,,,,,,,
debt,1674,debt,debt,debts,,,,,,,,,,,,,,,,
decade,1180,decade,decade,decades,,,,,,,,,,,,,,,,
decay,4541,decay,decay,decays,decayed,decaying,decayings,,,,,,,,,,,,,
decide,409,decide,decide,decided;decides,decided;deciding,deciding;decidings,decidings,,,,,,,,,,,,,
decision,499,decision,decision,decisions,,,,,,,,,,,,,,,,
deck,3525,deck,deck,decks,decked,decking,deckings,,,,,,,,,,,,,
declare,1684,declare,declare,declares,declared,declaring,declarings,,,,,,,,,,,,,
decline,1179,decline,decline,declines,declined,declining,declinings,,,,,,,,,,,,,
decorate,3180,decorate,decorate,decorates,decorated,decorating,decoratings,,,,,,,,,,,,,
decoration,4397,decoration,decoration,decorations,,,,,,,,,,,,,,,,
decrease,1470,decrease,decrease,decreases,decreased,decreasing,decreasings,,,,,,,,,,,,,
dedicate,2499,dedicate,dedicate,dedicates,dedicated,dedicating,dedicatings,,,,,,,,,,,,,
deep,890,deep,deep,deeper,deepest,deeps,,,,,,,,,,,,,,
deeply,2062,deeply,deeply,,,,,,,,,,,,,,,,,
defeat,1936,defeat,defeat,defeats,defeated,defeating,defeatings,,,,,,,,,,,,,
defect,3591,defect,defect,defects,defected,defecting,defectings,,,,,,,,,,,,,
defend,1924,defend,defend,defends,defended,defending,defendings,,,,,,,,,,,,,
defense,1244,defense,defense,defenses,defence,defences,,,,,,,,,,,,,,
deficit,2533,deficit,deficit,deficits,,,,,,,,,,,,,,,,
define,980,define,define,defines,defined,defining,definings,,,,,,,,,,,,,
definite,4188,definite,definite,,,,,,,,,,,,,,,,,
definitely,1607,definitely,definitely,,,,,,,,,,,,,,,,,
definition,1627,definition,definition,definitions,,,,,,,,,,,,,,,,
degree,848,degree,degree,degrees,,,,,,,,,,,,,,,,
delay,1360,delay,delay,delays,delayed,delaying,delayings,,,,,,,,,,,,,
delegate,2947,delegate,delegate,delegates,delegated,delegating,delegatings,,,,,,,,,,,,,
delete,4637,delete,delete,deletes,deleted,deleting,deletings,,,,,,,,,,,,,
deliberately,3406,deliberately,deliberately,,,,,,,,,,,,,,,,,
delicate,3822,delicate,delicate,,,,,,,,,,,,,,,,,
delicious,3511,delicious,delicious,,,,,,,,,,,,,,,,,
delight,2021,delight,delight,delights,delighted,delighting,delightings,,,,,,,,,,,,,
deliver,1114,deliver,deliver,delivers,delivered,delivering,deliverings,,,,,,,,,,,,,
delivery,1478,delivery,delivery,deliveries,,,,,,,,,,,,,,,,
demand,620,demand,demand,demands,demanded,demanding,demandings,,,,,,,,,,,,,
democracy,1914,democracy,democracy,democracies,,,,,,,,,,,,,,,,
democratic,2597,democratic,democratic,democratics,,,,,,,,,,,,,,,,
demonstrate,1322,demonstrate,demonstrate,demonstrates,demonstrated,demonstrating,demonstratings,,,,,,,,,,,,,
demonstration,2219,demonstration,demonstration,demonstrations,,,,,,,,,,,,,,,,
denote,4623,denote,denote,denotes,denoted,denoting,denotings,,,,,,,,,,,,,
dense,4195,dense,dense,denser,densest,,,,,,,,,,,,,,,
density,2838,density,density,densities,,,,,,,,,,,,,,,,
dentist,4579,dentist,dentist,dentists,,,,,,,,,,,,,,,,
deny,1479,deny,deny,denies,denied,denying,denys,,,,,,,,,,,,,
depart,3599,depart,depart,departs,departed,departing,departings,,,,,,,,,,,,,
department,786,department,department,departments,,,,,,,,,,,,,,,,
departure,2933,departure,departure,departures,,,,,,,,,,,,,,,,
depend,781,depend,depend,depended;depends,depended;depending,depending;dependings,dependings,,,,,,,,,,,,,
dependence,4395,dependence,dependence,dependences,,,,,,,,,,,,,,,,
dependent,2386,dependent,dependent,dependents,,,,,,,,,,,,,,,,
depict,3333,depict,depict,depicts,depicted,depicting,depictings,,,,,,,,,,,,,
deposit,2363,deposit,deposit,deposits,deposited,depositing,depositings,,,,,,,,,,,,,
depress,2484,depress,depress,depresses,depressed,depressing,depressings,,,,,,,,,,,,,
depression,2178,depression,depression,depressions,,,,,,,,,,,,,,,,
depth,2274,depth,depth,depths,,,,,,,,,,,,,,,,
derivative,5003,derivative,derivative,derivatives,,,,,,,,,,,,,,,,
derive,2032,derive,derive,derives,derived,deriving,derivings,,,,,,,,,,,,,
describe,507,describe,describe,describes,described,describing,describings,,,,,,,,,,,,,
description,1542,description,description,descriptions,,,,,,,,,,,,,,,,
desert,2337,desert,desert,deserts,deserted,deserting,desertings,,,,,,,,,,,,,
deserve,1922,deserve,deserve,deserves,deserved,deserving,deservings,,,,,,,,,,,,,
design,491,design,design,designs,designed,designing,designings,,,,,,,,,,,,,
designate,3456,designate,designate,designates,designated,designating,designatings,,,,,,,,,,,,,
designer,2228,designer,designer,designers,,,,,,,,,,,,,,,,
desirable,3775,desirable,desirable,desirables,,,,,,,,,,,,,,,,
desire,1341,desire,desire,desires,desired,desiring,desirings,,,,,,,,,,,,,
desk,1638,desk,desk,desks,,,,,,,,,,,,,,,,
desktop,4140,desktop,desktop,desktops,,,,,,,,,,,,,,,,
desperate,2971,desperate,desperate,,,,,,,,,,,,,,,,,
despite,821,despite,despite,,,,,,,,,,,,,,,,,
destination,3070,destination,destination,destinations,,,,,,,,,,,,,,,,
destroy,1497,destroy,destroy,destroys,destroyed,destroying,destroyings,,,,,,,,,,,,,
destruction,2638,destruction,destruction,destructions,,,,,,,,,,,,,,,,
detail,522,detail,detail,detailed;details,detailed;detailing,detailing;detailings,detailings,,,,,,,,,,,,,
detect,2395,detect,detect,detects,detected,detecting,detectings,,,,,,,,,,,,,
deteriorate,4783,deteriorate,deteriorate,deteriorates,deteriorated,deteriorating,deterioratings,,,,,,,,,,,,,
determination,2727,determination,determination,determinations,,,,,,,,,,,,,,,,
determine,758,determine,determine,determines,determined,determining,determinings,,,,,,,,,,,,,
devastate,3530,devastate,devastate,devastates,devastated,devastating,devastatings,,,,,,,,,,,,,
develop,400,develop,develop,developed;develops,developed;developing,developing;developings,developings,,,,,,,,,,,,,
developer,3448,developer,developer,developers,,,,,,,,,,,,,,,,
development,413,development,development,developments,,,,,,,,,,,,,,,,
developmental,3830,developmental,developmental,developmentals,,,,,,,,,,,,,,,,
device,1575,device,device,devices,,,,,,,,,,,,,,,,
devote,2170,devote,devote,devotes,devoted,devoting,devotings,,,,,,,,,,,,,
diagnose,3951,diagnose,diagnose,diagnoses,diagnosed,diagnosing,diagnosings,,,,,,,,,,,,,
diagnosis,3340,diagnosis,diagnosis,,,,,,,,,,,,,,,,,
diagram,3590,diagram,diagram,diagrams,diagrammed,diagramming,diagrammings,,,,,,,,,,,,,
dial,4198,dial,dial,dials,dialed,dialing,diall,dialls,dialled,dialling,diallings,,,,,,,,,
dialect,4638,dialect,dialect,dialects,,,,,,,,,,,,,,,,
dialog,2437,dialog,dialog,dialogs,dialoged,dialoging,dialogue,dialogues,dialogued,dialoguing,dialoguings,,,,,,,,,
diameter,4212,diameter,diameter,diameters,,,,,,,,,,,,,,,,
diamond,3826,diamond,diamond,diamonds,,,,,,,,,,,,,,,,
diary,2892,diary,diary,diaries,,,,,,,,,,,,,,,,
dictate,4033,dictate,dictate,dictates,dictated,dictating,dictatings,,,,,,,,,,,,,
dictionary,3225,dictionary,dictionary,dictionaries,,,,,,,,,,,,,,,,
die,504,die,die,died;dies,died;dying,dieing;dying,dieing;dieings,dieings,,,,,,,,,,,,
diet,1897,diet,diet,diets,dieted,dieting,dietings,,,,,,,,,,,,,
differ,2026,differ,differ,differs,differed,differing,differred,,,,,,,,,,,,,
difference,523,difference,difference,differenced;differences,differenced;differencing,differencing;differencings,differencings,,,,,,,,,,,,,
different,199,different,different,,,,,,,,,,,,,,,,,
differential,4868,differential,differential,differentials,,,,,,,,,,,,,,,,
differentiate,4136,differentiate,differentiate,differentiates,differentiated,differentiating,differentiatings,,,,,,,,,,,,,
differently,2700,differently,differently,,,,,,,,,,,,,,,,,
difficult,520,difficult,difficult,,,,,,,,,,,,,,,,,
difficulty,1051,difficulty,difficulty,difficulties,,,,,,,,,,,,,,,,
dig,2381,dig,dig,digs,dug,digging,digged,,,,,,,,,,,,,
digital,2359,digital,digital,digitals,,,,,,,,,,,,,,,,
dilemma,3949,dilemma,dilemma,dilemmas,,,,,,,,,,,,,,,,
dimension,2300,dimension,dimension,dimensions,dimensioned,dimensioning,dimensionings,,,,,,,,,,,,,
dine,3126,dine,dine,dines,dined,dining,dinings,,,,,,,,,,,,,
dinner,1167,dinner,dinner,dinners,,,,,,,,,,,,,,,,
dioxide,4481,dioxide,dioxide,dioxides,,,,,,,,,,,,,,,,
direct,774,direct,direct,directs,directed,directing,directings,,,,,,,,,,,,,
direction,1002,direction,direction,directions,,,,,,,,,,,,,,,,
directive,4985,directive,directive,directives,,,,,,,,,,,,,,,,
directly,1101,directly,directly,,,,,,,,,,,,,,,,,
director,777,director,director,directors,,,,,,,,,,,,,,,,
directory,4485,directory,directory,directories,,,,,,,,,,,,,,,,
dirty,2305,dirty,dirty,dirties,dirtied,dirtying,dirtier,dirtiest,,,,,,,,,,,,
disability,3356,disability,disability,disabilities,,,,,,,,,,,,,,,,
disable,3026,disable,disable,disables,disabled,disabling,disablings,,,,,,,,,,,,,
disadvantage,2879,disadvantage,disadvantage,disadvantages,disadvantaged,disadvantaging,disadvantagings,,,,,,,,,,,,,
disagree,2553,disagree,disagree,disagrees,disagreed,disagreeing,disagreeings,,,,,,,,,,,,,
disagreement,4042,disagreement,disagreement,disagreements,,,,,,,,,,,,,,,,
disappear,1715,disappear,disappear,disappears,disappeared,disappearing,disappearings,,,,,,,,,,,,,
disappoint,1903,disappoint,disappoint,disappoints,disappointed,disappointing,disappointings,,,,,,,,,,,,,
disappointment,3651,disappointment,disappointment,disappointments,,,,,,,,,,,,,,,,
disaster,2167,disaster,disaster,disasters,,,,,,,,,,,,,,,,
discard,4688,discard,discard,discards,discarded,discarding,discardings,,,,,,,,,,,,,
discharge,3489,discharge,discharge,discharges,discharged,discharging,dischargings,,,,,,,,,,,,,
discipline,1902,discipline,discipline,disciplines,disciplined,disciplining,disciplinings,,,,,,,,,,,,,
discount,1710,discount,discount,discounts,discounted,discounting,discountings,,,,,,,,,,,,,
discourse,3382,discourse,discourse,discourses,discoursed,discoursing,discoursings,,,,,,,,,,,,,
discover,996,discover,discover,discovers,discovered,discovering,discoverings,,,,,,,,,,,,,
discovery,2342,discovery,discovery,discoveries,,,,,,,,,,,,,,,,
discrimination,3233,discrimination,discrimination,discriminations,,,,,,,,,,,,,,,,
discuss,655,discuss,discuss,discussed;discusses,discussed;discussing,discussing;discussings,discussings,,,,,,,,,,,,,
discussion,814,discussion,discussion,discussions,,,,,,,,,,,,,,,,
disease,956,disease,disease,diseases,diseased,,,,,,,,,,,,,,,
disgust,3779,disgust,disgust,disgusts,disgusted,disgusting,disgustings,,,,,,,,,,,,,
dish,1932,dish,dish,dishes,dished,dishing,dishings,,,,,,,,,,,,,
disk,1879,disk,disk,disks,disc,discs,,,,,,,,,,,,,,
dislike,3670,dislike,dislike,dislikes,disliked,disliking,dislikings,,,,,,,,,,,,,
dismiss,2442,dismiss,dismiss,dismisses,dismissed,dismissing,dismissings,,,,,,,,,,,,,
disorder,2215,disorder,disorder,disorders,disordered,disordering,disorderings,,,,,,,,,,,,,
dispatch,4060,dispatch,dispatch,dispatches,dispatched,dispatching,despatch,despatches,despatched,despatching,despatchings,,,,,,,,,
display,1159,display,display,displays,displayed,displaying,displayings,,,,,,,,,,,,,
disposal,4070,disposal,disposal,disposals,,,,,,,,,,,,,,,,
dispose,4497,dispose,dispose,disposes,disposed,disposing,disposings,,,,,,,,,,,,,
dispute,2079,dispute,dispute,disputes,disputed,disputing,disputings,,,,,,,,,,,,,
disrupt,4512,disrupt,disrupt,disrupts,disrupted,disrupting,disruptings,,,,,,,,,,,,,
dissolve,4199,dissolve,dissolve,dissolves,dissolved,dissolving,dissolvings,,,,,,,,,,,,,
distance,1195,distance,distance,distances,distanced,distancing,distancings,,,,,,,,,,,,,
distant,2774,distant,distant,,,,,,,,,,,,,,,,,
distinct,2622,distinct,distinct,,,,,,,,,,,,,,,,,
distinction,2182,distinction,distinction,distinctions,,,,,,,,,,,,,,,,
distinguish,1943,distinguish,distinguish,distinguishes,distinguished,distinguishing,distinguishings,,,,,,,,,,,,,
distract,4278,distract,distract,distracts,distracted,distracting,distractings,,,,,,,,,,,,,
distribute,2030,distribute,distribute,distributes,distributed,distributing,distributings,,,,,,,,,,,,,
distribution,2867,distribution,distribution,distributions,,,,,,,,,,,,,,,,
distributor,4738,distributor,distributor,distributors,,,,,,,,,,,,,,,,
district,1379,district,district,districts,,,,,,,,,,,,,,,,
disturb,2322,disturb,disturb,disturbs,disturbed,disturbing,disturbings,,,,,,,,,,,,,
disturbance,4433,disturbance,disturbance,disturbances,,,,,,,,,,,,,,,,
dive,3108,dive,dive,dives,diving,dived,,,,,,,,,,,,,,
diverse,3054,diverse,diverse,,,,,,,,,,,,,,,,,
diversity,2611,diversity,diversity,diversities,,,,,,,,,,,,,,,,
divide,1366,divide,divide,divides,divided,dividing,dividings,,,,,,,,,,,,,
dividend,3534,dividend,dividend,dividends,,,,,,,,,,,,,,,,
division,1572,division,division,divisions,,,,,,,,,,,,,,,,
divorce,2454,divorce,divorce,divorces,divorced,divorcing,divorcings,,,,,,,,,,,,,
do,71,do,do,did;does,did;doing,doing;doings,doings;done,doesn;done,didn;doesn,didn;doin,doin,,,,,,,,,
dock,4110,dock,dock,docks,docked,docking,dockings,,,,,,,,,,,,,
doctor,813,doctor,doctor,doctored;doctors,doctored;doctoring,doctoring;dr,dr,,,,,,,,,,,,,
document,932,document,document,documented;documents,documented;documenting,documenting;documentings,documentings,,,,,,,,,,,,,
documentary,3465,documentary,documentary,documentaries,,,,,,,,,,,,,,,,
documentation,4641,documentation,documentation,documentations,,,,,,,,,,,,,,,,
dog,945,dog,dog,dogged;dogs,dogged;dogging,dogging;doggings,doggings,,,,,,,,,,,,,
dollar,1021,dollar,dollar,dollars,,,,,,,,,,,,,,,,
domain,2919,domain,domain,domains,,,,,,,,,,,,,,,,
domestic,1504,domestic,domestic,domestics,,,,,,,,,,,,,,,,
dominance,4993,dominance,dominance,dominances,,,,,,,,,,,,,,,,
dominant,2973,dominant,dominant,,,,,,,,,,,,,,,,,
dominate,2053,dominate,dominate,dominates,dominated,dominating,dominatings,,,,,,,,,,,,,
donate,3862,donate,donate,donates,donated,donating,donatings,,,,,,,,,,,,,
donation,4058,donation,donation,donations,,,,,,,,,,,,,,,,
donor,3655,donor,donor,donors,,,,,,,,,,,,,,,,
door,540,door,door,doors,,,,,,,,,,,,,,,,
dose,2978,dose,dose,doses,dosed,dosing,dosings,,,,,,,,,,,,,
double,1146,double,double,doubles,doubled,doubling,doublings,,,,,,,,,,,,,
doubt,924,doubt,doubt,doubts,doubted,doubting,doubtings,,,,,,,,,,,,,
down,159,down,down,downed;downs,downed;downing,downing;downings,downings,,,,,,,,,,,,,
download,4487,download,download,downloads,downloaded,downloading,downloadings,,,,,,,,,,,,,
downstairs,3906,downstairs,downstairs,,,,,,,,,,,,,,,,,
downtown,3321,downtown,downtown,downtowner,,,,,,,,,,,,,,,,
dozen,1815,dozen,dozen,dozens,,,,,,,,,,,,,,,,
draft,1859,draft,draft,drafts,drafted,drafting,draught,draughts,,,,,,,,,,,,
drag,2382,drag,drag,drags,dragged,dragging,draggings,,,,,,,,,,,,,
drain,3101,drain,drain,drains,drained,draining,drainings,,,,,,,,,,,,,
drama,2041,drama,drama,dramas,,,,,,,,,,,,,,,,
dramatic,2025,dramatic,dramatic,dramatics,,,,,,,,,,,,,,,,
dramatically,2574,dramatically,dramatically,,,,,,,,,,,,,,,,,
draw,531,draw,draw,draws;drew,drawing;drew,drawing;drawn,drawed;drawn,drawed;drawings,drawings,,,,,,,,,,,
drawback,4844,drawback,drawback,drawbacks,,,,,,,,,,,,,,,,
drawer,3736,drawer,drawer,drawers,,,,,,,,,,,,,,,,
dream,1016,dream,dream,dreams,dreamed,dreaming,dreamings,dreamt,,,,,,,,,,,,
dress,949,dress,dress,dresses,dressed,dressing,dressings,,,,,,,,,,,,,
drift,3173,drift,drift,drifts,drifted,drifting,driftin,,,,,,,,,,,,,
drill,3072,drill,drill,drills,drilled,drilling,drillings,,,,,,,,,,,,,
drink,705,drink,drink,drank;drinks,drank;drinking,drinkings;drunk,drinking,drinkings,,,,,,,,,,,,
drive,437,drive,drive,drives;drove,driving;drove,driven;driving,drived;driven,drived;droves,droves,,,,,,,,,,,
driver,1250,driver,driver,drivers,,,,,,,,,,,,,,,,
drop,690,drop,drop,dropped;drops,dropped;dropping,dropping;droppings,droppings,,,,,,,,,,,,,
drought,4938,drought,drought,droughts,,,,,,,,,,,,,,,,
drug,771,drug,drug,drugs,drugged,drugging,druggings,,,,,,,,,,,,,
drum,3475,drum,drum,drums,drummed,drumming,drummings,,,,,,,,,,,,,
dry,1185,dry,dry,dries,dried,drying,drier,driest,,,,,,,,,,,,
due,624,due,due,,,,,,,,,,,,,,,,,
dull,3506,dull,dull,dulls,dulled,dulling,duller,dullest,,,,,,,,,,,,
duration,3394,duration,duration,durations,,,,,,,,,,,,,,,,
during,232,during,during,,,,,,,,,,,,,,,,,
dust,2498,dust,dust,dusts,dusted,dusting,dustings,,,,,,,,,,,,,
duty,1312,duty,duty,duties,dutys,,,,,,,,,,,,,,,
dynamic,2880,dynamic,dynamic,dynamics,,,,,,,,,,,,,,,,
each,195,each,each,,,,,,,,,,,,,,,,,
eager,3278,eager,eager,,,,,,,,,,,,,,,,,
ear,1714,ear,ear,ears,eared,,,,,,,,,,,,,,,
early,247,early,early,earlier;earliest,earliest,,,,,,,,,,,,,,,
earn,976,earn,earn,earns,earned,earning,earnings,,,,,,,,,,,,,
earth,1338,earth,earth,earths,earthed,earthing,earthings,,,,,,,,,,,,,
earthquake,4261,earthquake,earthquake,earthquakes,,,,,,,,,,,,,,,,
ease,2111,ease,ease,eases,eased,easing,easings,,,,,,,,,,,,,
easily,1019,easily,easily,,,,,,,,,,,,,,,,,
east,1799,east,east,easts,,,,,,,,,,,,,,,,
eastern,2418,eastern,eastern,easterns,,,,,,,,,,,,,,,,
easy,458,easy,easy,easier;easiest,easiest,,,,,,,,,,,,,,,
eat,526,eat,eat,ate;eats,ate;eating,eaten;eating,eaten,,,,,,,,,,,,,
economic,543,economic,economic,economics,,,,,,,,,,,,,,,,
economically,4405,economically,economically,,,,,,,,,,,,,,,,,
economist,3030,economist,economist,economists,,,,,,,,,,,,,,,,
economy,749,economy,economy,economies,,,,,,,,,,,,,,,,
edge,1214,edge,edge,edges,edged,edging,edgings,,,,,,,,,,,,,
edit,2361,edit,edit,edits,edited,editing,editings,,,,,,,,,,,,,
edition,2082,edition,edition,editions,editioned,editioning,editionings,,,,,,,,,,,,,
editor,1473,editor,editor,editors,,,,,,,,,,,,,,,,
editorial,3183,editorial,editorial,editorials,,,,,,,,,,,,,,,,
educate,2043,educate,educate,educates,educated,educating,educatings,,,,,,,,,,,,,
education,581,education,education,educations,,,,,,,,,,,,,,,,
educational,1942,educational,educational,educationals,,,,,,,,,,,,,,,,
effect,365,effect,effect,effected;effects,effected;effecting,effecting;effectings,effectings,,,,,,,,,,,,,
effective,1081,effective,effective,,,,,,,,,,,,,,,,,
effectively,1892,effectively,effectively,,,,,,,,,,,,,,,,,
effectiveness,3322,effectiveness,effectiveness,,,,,,,,,,,,,,,,,
efficiency,2304,efficiency,efficiency,efficiencies,,,,,,,,,,,,,,,,
efficient,2019,efficient,efficient,,,,,,,,,,,,,,,,,
efficiently,4233,efficiently,efficiently,,,,,,,,,,,,,,,,,
effort,627,effort,effort,efforts,,,,,,,,,,,,,,,,
egg,1431,egg,egg,eggs,egged,egging,eggings,,,,,,,,,,,,,
eight,25,eight,eight,eights,eighth,eighths,,,,,,,,,,,,,,
eighty,43,eighty,eighty,eightys,eighties,eightieth,eightieths,,,,,,,,,,,,,
either,421,either,either,,,,,,,,,,,,,,,,,
elaborate,3201,elaborate,elaborate,elaborates,elaborated,elaborating,elaboratings,,,,,,,,,,,,,
elderly,2102,elderly,elderly,,,,,,,,,,,,,,,,,
elect,1628,elect,elect,elects,elected,electing,electings,,,,,,,,,,,,,
election,807,election,election,elections,,,,,,,,,,,,,,,,
electric,2470,electric,electric,electrics,,,,,,,,,,,,,,,,
electrical,3071,electrical,electrical,electricals,,,,,,,,,,,,,,,,
electricity,2064,electricity,electricity,electricities,,,,,,,,,,,,,,,,
electron,4062,electron,electron,electrons,,,,,,,,,,,,,,,,
electronic,1772,electronic,electronic,electronics,,,,,,,,,,,,,,,,
elegant,3397,elegant,elegant,,,,,,,,,,,,,,,,,
element,1080,element,element,elements,,,,,,,,,,,,,,,,
elementary,4192,elementary,elementary,,,,,,,,,,,,,,,,,
elephant,3677,elephant,elephant,elephants,,,,,,,,,,,,,,,,
elevate,4322,elevate,elevate,elevates,elevated,elevating,elevatings,,,,,,,,,,,,,
eleven,28,eleven,eleven,elevens,eleventh,elevenths,,,,,,,,,,,,,,
eligible,3626,eligible,eligible,eligibles,,,,,,,,,,,,,,,,
eliminate,2132,eliminate,eliminate,eliminates,eliminated,eliminating,eliminatings,,,,,,,,,,,,,
elite,3186,elite,elite,elites,�lite,�lites,,,,,,,,,,,,,,
else,516,else,else,,,,,,,,,,,,,,,,,
elsewhere,1893,elsewhere,elsewhere,,,,,,,,,,,,,,,,,
email,1219,email,email,emails,emailed,emailing,emailings,e-mail,e-mails,e-mailed,e-mailing,e-mailings,,,,,,,,
embarrass,2514,embarrass,embarrass,embarrasses,embarrassed,embarrassing,embarrassings,,,,,,,,,,,,,
embassy,4576,embassy,embassy,embassies,,,,,,,,,,,,,,,,
embed,3791,embed,embed,embeds,embedded,embedding,embeddings,,,,,,,,,,,,,
embrace,2522,embrace,embrace,embraces,embraced,embracing,embracings,,,,,,,,,,,,,
emerge,1261,emerge,emerge,emerges,emerged,emerging,emergings,,,,,,,,,,,,,
emergence,4240,emergence,emergence,emergences,,,,,,,,,,,,,,,,
emergency,1941,emergency,emergency,emergencies,,,,,,,,,,,,,,,,
emission,2958,emission,emission,emissions,,,,,,,,,,,,,,,,
emotion,1833,emotion,emotion,emotions,,,,,,,,,,,,,,,,
emotional,1881,emotional,emotional,emotionals,,,,,,,,,,,,,,,,
emphasis,2081,emphasis,emphasis,emphases,,,,,,,,,,,,,,,,
emphasize,1890,emphasize,emphasize,emphasizes,emphasized,emphasizing,emphasise,emphasises,emphasised,emphasising,emphasisings,,,,,,,,,
empire,2798,empire,empire,empires,,,,,,,,,,,,,,,,
empirical,4085,empirical,empirical,empiricals,,,,,,,,,,,,,,,,
employ,1344,employ,employ,employs,employed,employing,employings,,,,,,,,,,,,,
employee,674,employee,employee,employees,,,,,,,,,,,,,,,,
employer,1752,employer,employer,employers,,,,,,,,,,,,,,,,
employment,1657,employment,employment,employments,,,,,,,,,,,,,,,,
empty,1642,empty,empty,empties,emptied,emptying,emptier,emptiest,,,,,,,,,,,,
enable,1402,enable,enable,enables,enabled,enabling,enablings,,,,,,,,,,,,,
enclose,3260,enclose,enclose,encloses,enclosed,enclosing,enclosings,,,,,,,,,,,,,
encounter,1962,encounter,encounter,encounters,encountered,encountering,encounterings,,,,,,,,,,,,,
encourage,962,encourage,encourage,encourages,encouraged,encouraging,encourageing,encourageings,,,,,,,,,,,,
end,202,end,end,ended;ends,ended;ending,ending;endings,endings,,,,,,,,,,,,,
enemy,1837,enemy,enemy,enemies,,,,,,,,,,,,,,,,
energy,881,energy,energy,energies,,,,,,,,,,,,,,,,
enforcement,3274,enforcement,enforcement,enforcements,,,,,,,,,,,,,,,,
engage,1349,engage,engage,engages,engaged,engaging,engagings,,,,,,,,,,,,,
engagement,3247,engagement,engagement,engagements,,,,,,,,,,,,,,,,
