0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
bunch,bunches,bunched,bunching,bunchs,,,,,,,,,,,,,
burden,burdens,burdened,burdening,burdenings,,,,,,,,,,,,,
burn,burns,burned,burning,burnt,burnings,,,,,,,,,,,,
burst,bursts,bursted,bursting,burstings,,,,,,,,,,,,,
bury,buries,buried,burying,buryings,,,,,,,,,,,,,
bus,bused;buses,bused;busing,busing;busings,busings,,,,,,,,,,,,,
business,businesses,,,,,,,,,,,,,,,,
busy,busies,busied,busying,busier,busiest,,,,,,,,,,,,
but,buts,,,,,,,,,,,,,,,,
button,buttons,buttoned,buttoning,buttonings,,,,,,,,,,,,,
buy,bought;buys,bought;buying,buyed;buying,buyed,,,,,,,,,,,,,
buyer,buyers,,,,,,,,,,,,,,,,
by,bys,,,,,,,,,,,,,,,,
cable,cables,cabled,cabling,cablings,,,,,,,,,,,,,
cake,cakes,caked,caking,cakings,,,,,,,,,,,,,
calculate,calculates,calculated,calculating,calculatings,,,,,,,,,,,,,
call,called;calls,called;calling,calling;callings,callings,,,,,,,,,,,,,
calm,calms,calmed,calming,calmer,calmest,,,,,,,,,,,,
camera,cameras,,,,,,,,,,,,,,,,
camp,camps,camped,camping,campings,,,,,,,,,,,,,
campaign,campaigns,campaigned,campaigning,campaignings,,,,,,,,,,,,,
can,canned;cans,canned;canning,canning;cannot,cannings;cannot,cannings,,,,,,,,,,,,
cancel,cancels,canceled,canceling,cancelled,cancelling,cancellings,,,,,,,,,,,
cancer,cancers,,,,,,,,,,,,,,,,
candidate,candidates,,,,,,,,,,,,,,,,
cap,caps,capped,capping,cappings,,,,,,,,,,,,,
capability,capabilities,,,,,,,,,,,,,,,,
capable,capables,,,,,,,,,,,,,,,,
capacity,capacities,,,,,,,,,,,,,,,,
capital,capitals,,,,,,,,,,,,,,,,
capture,captures,captured,capturing,capturings,,,,,,,,,,,,,
car,cars,,,,,,,,,,,,,,,,
carbon,carbons,,,,,,,,,,,,,,,,
card,carded;cards,carded;carding,carding;cardings,cardings,,,,,,,,,,,,,
care,cared;cares,cared;caring,caring;carings,carings,,,,,,,,,,,,,
career,careers,careered,careering,careerings,,,,,,,,,,,,,
careful,,,,,,,,,,,,,,,,,
carefully,,,,,,,,,,,,,,,,,
carpet,carpets,carpeted,carpeting,carpetings,,,,,,,,,,,,,
carry,carried;carries,carried;carrying,carryed;carrying,carryed;carrys,carrys,,,,,,,,,,,,
case,cased;cases,cased;casing,casing;casings,casings,,,,,,,,,,,,,
cash,cashes,cashed,cashing,cashings,,,,,,,,,,,,,
cast,casts,casted,casting,castings,,,,,,,,,,,,,
castle,castles,castled,castling,castlings,,,,,,,,,,,,,
cat,cats,,,,,,,,,,,,,,,,
catalog,catalogs,cataloged,cataloging,catalogue,catalogues,catalogued,cataloguing,cataloguings,,,,,,,,,
catch,catches;caught,catching;caught,catched;catching,catched,,,,,,,,,,,,,
category,categories,,,,,,,,,,,,,,,,
cause,caused;causes,caused;causing,causing;causings,causings,,,,,,,,,,,,,
celebrate,celebrates,celebrated,celebrating,celebratings,,,,,,,,,,,,,
celebration,celebrations,,,,,,,,,,,,,,,,
cell,cells,celled,celling,cellings,,,,,,,,,,,,,
cent,cents,,,,,,,,,,,,,,,,
center,centered;centers,centered;centering,centering;centerings,centerings;centre,centre;centres,centred;centres,centred;centring,centring;centrings,centrings,,,,,,,,
central,centrals,,,,,,,,,,,,,,,,
century,centuries,,,,,,,,,,,,,,,,
ceremony,ceremonies,,,,,,,,,,,,,,,,
certain,,,,,,,,,,,,,,,,,
certainly,,,,,,,,,,,,,,,,,
chain,chains,chained,chaining,chainings,,,,,,,,,,,,,
chair,chairs,chaired,chairing,chairings,,,,,,,,,,,,,
chairman,chairmen,chairmans,,,,,,,,,,,,,,,
challenge,challenges,challenged,challenging,challengings,,,,,,,,,,,,,
chamber,chambers,chambered,chambering,chamberings,,,,,,,,,,,,,
champion,champions,championed,championing,championings,,,,,,,,,,,,,
championship,championships,,,,,,,,,,,,,,,,
chance,chanced;chances,chanced;chancing,chancing;chancings,chancings,,,,,,,,,,,,,
change,changed;changes,changed;changing,changing;changings,changings,,,,,,,,,,,,,
channel,channels,channeled,channelled,channelling,channeling,channelings,,,,,,,,,,,
chapter,chapters,,,,,,,,,,,,,,,,
character,characters,,,,,,,,,,,,,,,,
characteristic,characteristics,,,,,,,,,,,,,,,,
characterize,characterizes,characterized,characterizing,characterise,characterises,characterised,characterising,characterisings,,,,,,,,,
charge,charged;charges,charged;charging,charging;chargings,chargings,,,,,,,,,,,,,
charity,charities,,,,,,,,,,,,,,,,
charm,charms,charmed,charming,charmings,,,,,,,,,,,,,
chart,charts,charted,charting,chartings,,,,,,,,,,,,,
chase,chases,chased,chasing,chasings,,,,,,,,,,,,,
chat,chats,chatted,chatting,chattings,,,,,,,,,,,,,
cheap,cheaper;cheapest,cheapest,,,,,,,,,,,,,,,
check,checked;checks,checked;checking,checking;checkings,checkings,,,,,,,,,,,,,
cheek,cheeks,cheeked,cheeking,cheekings,,,,,,,,,,,,,
cheese,cheeses,,,,,,,,,,,,,,,,
chemical,chemicals,,,,,,,,,,,,,,,,
chest,chests,chested,chesting,chestings,,,,,,,,,,,,,
chicken,chickens,chickened,chickening,chickenings,,,,,,,,,,,,,
chief,chiefs,chiefest,,,,,,,,,,,,,,,
child,children;childs,children;childrens,childrens,,,,,,,,,,,,,,
childhood,childhoods,,,,,,,,,,,,,,,,
chip,chips,chipped,chipping,chippings,,,,,,,,,,,,,
chocolate,chocolates,,,,,,,,,,,,,,,,
choice,choicer;choices,choicer;choicest,choicest,,,,,,,,,,,,,,
choose,chooses;chose,choosing;chose,choosing;chosen,choosed;chosen,choosed,,,,,,,,,,,,
church,churched;churches,churched;churching,churching;churchs,churchs,,,,,,,,,,,,,
cigarette,cigarettes,,,,,,,,,,,,,,,,
circle,circles,circled,circling,circlings,,,,,,,,,,,,,
circumstance,circumstances,,,,,,,,,,,,,,,,
cite,cites,cited,citing,citings,,,,,,,,,,,,,
citizen,citizens,,,,,,,,,,,,,,,,
city,cities;citys,citys,,,,,,,,,,,,,,,
civil,,,,,,,,,,,,,,,,,
civilian,civilians,,,,,,,,,,,,,,,,
claim,claims,claimed,claiming,claimings,,,,,,,,,,,,,
class,classed;classes,classed;classing,classing;classings,classings,,,,,,,,,,,,,
classic,classics,,,,,,,,,,,,,,,,
classical,classicals,,,,,,,,,,,,,,,,
clause,clauses,,,,,,,,,,,,,,,,
clean,cleaned;cleans,cleaned;cleaning,cleaning;cleanings,cleanings,,,,,,,,,,,,,
clear,cleared;clears,cleared;clearing,clearer;clearing,clearer;clearest,clearest;clearings,clearings,,,,,,,,,,,
clearly,,,,,,,,,,,,,,,,,
click,clicks,clicked,clicking,clickings,,,,,,,,,,,,,
climate,climates,,,,,,,,,,,,,,,,
climb,climbs,climbed,climbing,climbings,,,,,,,,,,,,,
clinical,clinicals,,,,,,,,,,,,,,,,
clock,clocked;clocks,clocked;clocking,clocking;clockings,clockings,,,,,,,,,,,,,
close,closed;closes,closed;closing,closer;closing,closer;closest,closest;closings,closings,,,,,,,,,,,
closely,,,,,,,,,,,,,,,,,
clothes,,,,,,,,,,,,,,,,,
clothing,clothings,,,,,,,,,,,,,,,,
cloud,clouds,clouded,clouding,cloudings,,,,,,,,,,,,,
club,clubs,clubbed,clubbing,clubbings,,,,,,,,,,,,,
cluster,clusters,clustered,clustering,clusterings,,,,,,,,,,,,,
coach,coaches,coached,coaching,coachings,,,,,,,,,,,,,
coal,coals,,,,,,,,,,,,,,,,
coast,coasts,coasted,coasting,coastings,,,,,,,,,,,,,
coat,coats,coated,coating,coatings,,,,,,,,,,,,,
code,codes,coded,coding,codings,,,,,,,,,,,,,
coffee,coffees,,,,,,,,,,,,,,,,
coin,coins,coined,coining,coinings,,,,,,,,,,,,,
cold,colder;coldest,coldest;colds,colds,,,,,,,,,,,,,,
collapse,collapses,collapsed,collapsing,collapsings,,,,,,,,,,,,,
colleague,colleagues,,,,,,,,,,,,,,,,
collect,collects,collected,collecting,collectings,,,,,,,,,,,,,
collection,collections,,,,,,,,,,,,,,,,
college,colleges,,,,,,,,,,,,,,,,
color,colored;colors,colored;coloring,coloring;colorings,colorings;colour,colour;colours,coloured;colours,coloured;colouring,colouring;colourings,colourings,,,,,,,,
column,columns,columned,,,,,,,,,,,,,,,
combination,combinations,,,,,,,,,,,,,,,,
combine,combines,combined,combining,combinings,,,,,,,,,,,,,
come,came;comes,came;coming,comed;coming,comed;cometh,cometh;comin,comeing;comin,comeing;comings,comings,,,,,,,,,
comedy,comedies,,,,,,,,,,,,,,,,
comfort,comforts,comforted,comforting,comfortings,,,,,,,,,,,,,
comfortable,comfortables,,,,,,,,,,,,,,,,
command,commands,commanded,commanding,commandings,,,,,,,,,,,,,
comment,commented;comments,commented;commenting,commenting;commentings,commentings,,,,,,,,,,,,,
commercial,commercials,,,,,,,,,,,,,,,,
commission,commissions,commissioned,commissioning,commissionings,,,,,,,,,,,,,
commit,commits,commited,commiting,committed,committing,committings,,,,,,,,,,,
commitment,commitments,,,,,,,,,,,,,,,,
committee,committees,,,,,,,,,,,,,,,,
common,commonest,,,,,,,,,,,,,,,,
communicate,communicates,communicated,communicating,communicatings,,,,,,,,,,,,,
communication,communications,,,,,,,,,,,,,,,,
community,communities,,,,,,,,,,,,,,,,
company,companies;companys,companys,,,,,,,,,,,,,,,
compare,compares,compared,comparing,comparings,,,,,,,,,,,,,
comparison,comparisons,,,,,,,,,,,,,,,,
compensation,compensations,,,,,,,,,,,,,,,,
compete,competes,competed,competing,competings,,,,,,,,,,,,,
competition,competitions,,,,,,,,,,,,,,,,
competitive,,,,,,,,,,,,,,,,,
competitor,competitors,,,,,,,,,,,,,,,,
complain,complains,complained,complaining,complainings,,,,,,,,,,,,,
complaint,complaints,,,,,,,,,,,,,,,,
complete,completes,completed,completing,completings,,,,,,,,,,,,,
completely,,,,,,,,,,,,,,,,,
complex,complexs,complexed,complexing,complexes,,,,,,,,,,,,,
complexity,complexities,,,,,,,,,,,,,,,,
complicate,complicates,complicated,complicating,complicatings,,,,,,,,,,,,,
component,components,,,,,,,,,,,,,,,,
compose,composes,composed,composing,composings,,,,,,,,,,,,,
composition,compositions,,,,,,,,,,,,,,,,
compound,compounds,compounded,compounding,compoundings,,,,,,,,,,,,,
comprehensive,,,,,,,,,,,,,,,,,
comprise,comprises,comprised,comprising,comprisings,,,,,,,,,,,,,
compromise,compromises,compromised,compromising,compromisings,,,,,,,,,,,,,
compute,computes,computed,computing,computings,,,,,,,,,,,,,
computer,computers,,,,,,,,,,,,,,,,
concentrate,concentrates,concentrated,concentrating,concentratings,,,,,,,,,,,,,
concentration,concentrations,,,,,,,,,,,,,,,,
concept,concepts,,,,,,,,,,,,,,,,
concern,concerned;concerns,concerned;concerning,concerning;concernings,concernings,,,,,,,,,,,,,
concert,concerts,concerted,,,,,,,,,,,,,,,
conclude,concludes,concluded,concluding,concludings,,,,,,,,,,,,,
conclusion,conclusions,,,,,,,,,,,,,,,,
concrete,concretes,concreted,concreting,concretings,,,,,,,,,,,,,
condition,conditions,conditioned,conditioning,conditionings,,,,,,,,,,,,,
conduct,conducts,conducted,conducting,conductings,,,,,,,,,,,,,
conference,conferences,conferenced,conferencing,conferencings,,,,,,,,,,,,,
confidence,confidences,,,,,,,,,,,,,,,,
confident,confidents,,,,,,,,,,,,,,,,
confirm,confirms,confirmed,confirming,confirmings,,,,,,,,,,,,,
conflict,conflicts,conflicted,conflicting,conflictings,,,,,,,,,,,,,
confuse,confuses,confused,confusing,confusings,,,,,,,,,,,,,
confusion,confusions,,,,,,,,,,,,,,,,
connect,connects,connected,connecting,connectings,,,,,,,,,,,,,
connection,connections,connexion,connexions,,,,,,,,,,,,,,
consequence,consequences,,,,,,,,,,,,,,,,
consequently,,,,,,,,,,,,,,,,,
conservative,conservatives,,,,,,,,,,,,,,,,
consider,considered;considers,considered;considering,considering;considerings,considerings,,,,,,,,,,,,,
considerable,considerables,,,,,,,,,,,,,,,,
consideration,considerations,,,,,,,,,,,,,,,,
consist,consists,consisted,consisting,consistings,,,,,,,,,,,,,
consistent,,,,,,,,,,,,,,,,,
constant,constants,,,,,,,,,,,,,,,,
constantly,,,,,,,,,,,,,,,,,
constitute,constitutes,constituted,constituting,constitutings,,,,,,,,,,,,,
constraint,constraints,,,,,,,,,,,,,,,,
construct,constructs,constructed,constructing,constructings,,,,,,,,,,,,,
construction,constructions,,,,,,,,,,,,,,,,
consult,consults,consulted,consulting,consultings,,,,,,,,,,,,,
consultant,consultants,,,,,,,,,,,,,,,,
consume,consumes,consumed,consuming,consumings,,,,,,,,,,,,,
consumer,consumers,,,,,,,,,,,,,,,,
contact,contacted;contacts,contacted;contacting,contacting;contactings,contactings,,,,,,,,,,,,,
contain,contains,contained,containing,containings,,,,,,,,,,,,,
contemporary,contemporaries,,,,,,,,,,,,,,,,
content,contents,contented,contenting,contentings,,,,,,,,,,,,,
contest,contests,contested,contesting,contestings,,,,,,,,,,,,,
context,contexts,,,,,,,,,,,,,,,,
continue,continued;continues,continued;continuing,continueing;continuing,continueing;continueings,continueings,,,,,,,,,,,,
continuous,,,,,,,,,,,,,,,,,
contract,contracts,contracted,contracting,contractings,,,,,,,,,,,,,
contrast,contrasts,contrasted,contrasting,contrastings,,,,,,,,,,,,,
contribute,contributes,contributed,contributing,contributings,,,,,,,,,,,,,
contribution,contributions,,,,,,,,,,,,,,,,
control,controlled;controls,controlled;controlling,controlling;controllings,controllings,,,,,,,,,,,,,
controversial,controversials,,,,,,,,,,,,,,,,
convention,conventions,,,,,,,,,,,,,,,,
conventional,conventionals,,,,,,,,,,,,,,,,
conversation,conversations,,,,,,,,,,,,,,,,
convert,converts,converted,converting,convertings,,,,,,,,,,,,,
convince,convinces,convinced,convincing,convincings,,,,,,,,,,,,,
cook,cooks,cooked,cooking,cookings,,,,,,,,,,,,,
cool,cooled;cools,cooled;cooling,coolest;cooling,coolest,,,,,,,,,,,,,
cooperation,cooperations,,,,,,,,,,,,,,,,
cope,copes,coped,coping,copings,,,,,,,,,,,,,
copy,copied;copies,copied;copying,copying;copyings,copyings,,,,,,,,,,,,,
core,cores,cored,coring,corings,,,,,,,,,,,,,
corner,corners,cornered,cornering,cornerings,,,,,,,,,,,,,
corporate,corporates,corporated,corporating,corporatings,,,,,,,,,,,,,
corporation,corporations,,,,,,,,,,,,,,,,
correct,corrected;corrects,corrected;correcting,correcting;correctings,correctings,,,,,,,,,,,,,
correspond,corresponds,corresponded,corresponding,correspondings,,,,,,,,,,,,,
cost,costed;costs,costed;costing,costing;costings,costings,,,,,,,,,,,,,
cough,coughed;coughs,coughed;coughing,coughing;coughings,coughings,,,,,,,,,,,,,
could,coulda;couldn,coulda,,,,,,,,,,,,,,,
council,councilled;councils,councilled;councilling,councilling;councillings,councillings,,,,,,,,,,,,,
counsel,counsels,counselled,counselling,counseling,counselings,,,,,,,,,,,,
count,counts,counted,counting,countings,,,,,,,,,,,,,
counter,counters,countered,countering,counterings,,,,,,,,,,,,,
country,countries;countrys,countrys,,,,,,,,,,,,,,,
county,counties,,,,,,,,,,,,,,,,
couple,coupled;couples,coupled;coupling,coupling;couplings,couplings,,,,,,,,,,,,,
course,coursed;courses,coursed;coursing,coursing;coursings,coursings,,,,,,,,,,,,,
court,courts,courted,courting,courtings,,,,,,,,,,,,,
cousin,cousins,,,,,,,,,,,,,,,,
cover,covered;covers,covered;covering,covering;coverings,coverings,,,,,,,,,,,,,
coverage,coverages,,,,,,,,,,,,,,,,
cow,cows,cowed,cowing,cowings,,,,,,,,,,,,,
crack,cracks,cracked,cracking,crackings,,,,,,,,,,,,,
craft,crafts,crafted,crafting,craftings,,,,,,,,,,,,,
crash,crashes,crashed,crashing,crashings,,,,,,,,,,,,,
crazy,crazier,craziest,crazies,,,,,,,,,,,,,,
cream,creams,creamed,creaming,creamings,,,,,,,,,,,,,
create,created;creates,created;creating,creating;creatings,creatings,,,,,,,,,,,,,
creation,creations,,,,,,,,,,,,,,,,
creative,creatives,,,,,,,,,,,,,,,,
creature,creatures,,,,,,,,,,,,,,,,
credit,credits,credited,crediting,creditings,,,,,,,,,,,,,
crew,crews,crewed,crewing,crewings,,,,,,,,,,,,,
crime,crimes,,,,,,,,,,,,,,,,
criminal,criminals,,,,,,,,,,,,,,,,
crisis,crises,,,,,,,,,,,,,,,,
critic,critics,,,,,,,,,,,,,,,,
critical,criticals,,,,,,,,,,,,,,,,
criticism,criticisms,,,,,,,,,,,,,,,,
criticize,criticizes,criticized,criticizing,criticise,criticises,criticised,criticising,criticisings,,,,,,,,,
crop,crops,cropped,cropping,croppings,,,,,,,,,,,,,
cross,crosses,crossed,crossing,crossings,,,,,,,,,,,,,
crowd,crowds,crowded,crowding,crowdings,,,,,,,,,,,,,
crucial,crucials,,,,,,,,,,,,,,,,
cry,cries,cried,crying,cryed,,,,,,,,,,,,,
cultural,culturals,,,,,,,,,,,,,,,,
culture,cultures,cultured,culturing,culturings,,,,,,,,,,,,,
cup,cups,cupped,cupping,cuppings,,,,,,,,,,,,,
curious,curiouser,,,,,,,,,,,,,,,,
currency,currencies,,,,,,,,,,,,,,,,
current,currents,,,,,,,,,,,,,,,,
currently,,,,,,,,,,,,,,,,,
curtain,curtains,curtained,curtaining,curtainings,,,,,,,,,,,,,
curve,curves,curved,curving,curvings,,,,,,,,,,,,,
custom,customs,,,,,,,,,,,,,,,,
customer,customers,,,,,,,,,,,,,,,,
cut,cuts;cutted,cutted;cutting,cutting;cuttings,cuttings,,,,,,,,,,,,,
cycle,cycles,cycled,cycling,cyclings,,,,,,,,,,,,,
dad,daddy;dads,daddies;daddy,daddies,,,,,,,,,,,,,,
daily,dailies,,,,,,,,,,,,,,,,
damage,damages,damaged,damaging,damagings,,,,,,,,,,,,,
damn,damns,damned,damning,damnings,,,,,,,,,,,,,
dance,dances,danced,dancing,danceing,danceings,,,,,,,,,,,,
danger,dangers,,,,,,,,,,,,,,,,
dangerous,,,,,,,,,,,,,,,,,
dare,dares,dared,daring,darings,,,,,,,,,,,,,
dark,darker,darkest,,,,,,,,,,,,,,,
darkness,darknesses,,,,,,,,,,,,,,,,
data,datas,datum,,,,,,,,,,,,,,,
database,databases,,,,,,,,,,,,,,,,
date,dated;dates,dated;dating,dating;datings,datings,,,,,,,,,,,,,
daughter,daughters,,,,,,,,,,,,,,,,
day,daies;days,daies,,,,,,,,,,,,,,,
dead,deader,deadest,,,,,,,,,,,,,,,
deal,dealed;deals,dealed;dealing,dealing;dealt,dealings;dealt,dealings,,,,,,,,,,,,
dealer,dealers,,,,,,,,,,,,,,,,
dear,dearer;dears,dearer;dearest,dearest,,,,,,,,,,,,,,
death,deaths,,,,,,,,,,,,,,,,
debate,debates,debated,debating,debatings,,,,,,,,,,,,,
debt,debts,,,,,,,,,,,,,,,,
decade,decades,,,,,,,,,,,,,,,,
decide,decided;decides,decided;deciding,deciding;decidings,decidings,,,,,,,,,,,,,
decision,decisions,,,,,,,,,,,,,,,,
declare,declares,declared,declaring,declarings,,,,,,,,,,,,,
decline,declines,declined,declining,declinings,,,,,,,,,,,,,
decrease,decreases,decreased,decreasing,decreasings,,,,,,,,,,,,,
dedicate,dedicates,dedicated,dedicating,dedicatings,,,,,,,,,,,,,
deep,deeper,deepest,deeps,,,,,,,,,,,,,,
deeply,,,,,,,,,,,,,,,,,
defeat,defeats,defeated,defeating,defeatings,,,,,,,,,,,,,
defend,defends,defended,defending,defendings,,,,,,,,,,,,,
defense,defenses,defence,defences,,,,,,,,,,,,,,
deficit,deficits,,,,,,,,,,,,,,,,
define,defines,defined,defining,definings,,,,,,,,,,,,,
definitely,,,,,,,,,,,,,,,,,
definition,definitions,,,,,,,,,,,,,,,,
degree,degrees,,,,,,,,,,,,,,,,
delay,delays,delayed,delaying,delayings,,,,,,,,,,,,,
delight,delights,delighted,delighting,delightings,,,,,,,,,,,,,
deliver,delivers,delivered,delivering,deliverings,,,,,,,,,,,,,
delivery,deliveries,,,,,,,,,,,,,,,,
demand,demands,demanded,demanding,demandings,,,,,,,,,,,,,
democracy,democracies,,,,,,,,,,,,,,,,
democratic,democratics,,,,,,,,,,,,,,,,
demonstrate,demonstrates,demonstrated,demonstrating,demonstratings,,,,,,,,,,,,,
demonstration,demonstrations,,,,,,,,,,,,,,,,
density,densities,,,,,,,,,,,,,,,,
deny,denies,denied,denying,denys,,,,,,,,,,,,,
department,departments,,,,,,,,,,,,,,,,
depend,depended;depends,depended;depending,depending;dependings,dependings,,,,,,,,,,,,,
dependent,dependents,,,,,,,,,,,,,,,,
deposit,deposits,deposited,depositing,depositings,,,,,,,,,,,,,
depress,depresses,depressed,depressing,depressings,,,,,,,,,,,,,
depression,depressions,,,,,,,,,,,,,,,,
depth,depths,,,,,,,,,,,,,,,,
derive,derives,derived,deriving,derivings,,,,,,,,,,,,,
describe,describes,described,describing,describings,,,,,,,,,,,,,
description,descriptions,,,,,,,,,,,,,,,,
desert,deserts,deserted,deserting,desertings,,,,,,,,,,,,,
deserve,deserves,deserved,deserving,deservings,,,,,,,,,,,,,
design,designs,designed,designing,designings,,,,,,,,,,,,,
designer,designers,,,,,,,,,,,,,,,,
desire,desires,desired,desiring,desirings,,,,,,,,,,,,,
desk,desks,,,,,,,,,,,,,,,,
despite,,,,,,,,,,,,,,,,,
destroy,destroys,destroyed,destroying,destroyings,,,,,,,,,,,,,
destruction,destructions,,,,,,,,,,,,,,,,
detail,detailed;details,detailed;detailing,detailing;detailings,detailings,,,,,,,,,,,,,
detect,detects,detected,detecting,detectings,,,,,,,,,,,,,
determination,determinations,,,,,,,,,,,,,,,,
determine,determines,determined,determining,determinings,,,,,,,,,,,,,
develop,developed;develops,developed;developing,developing;developings,developings,,,,,,,,,,,,,
development,developments,,,,,,,,,,,,,,,,
device,devices,,,,,,,,,,,,,,,,
devote,devotes,devoted,devoting,devotings,,,,,,,,,,,,,
dialog,dialogs,dialoged,dialoging,dialogue,dialogues,dialogued,dialoguing,dialoguings,,,,,,,,,
die,died;dies,died;dying,dieing;dying,dieing;dieings,dieings,,,,,,,,,,,,
diet,diets,dieted,dieting,dietings,,,,,,,,,,,,,
differ,differs,differed,differing,differred,,,,,,,,,,,,,
difference,differenced;differences,differenced;differencing,differencing;differencings,differencings,,,,,,,,,,,,,
different,,,,,,,,,,,,,,,,,
differently,,,,,,,,,,,,,,,,,
difficult,,,,,,,,,,,,,,,,,
difficulty,difficulties,,,,,,,,,,,,,,,,
dig,digs,dug,digging,digged,,,,,,,,,,,,,
digital,digitals,,,,,,,,,,,,,,,,
dimension,dimensions,dimensioned,dimensioning,dimensionings,,,,,,,,,,,,,
dinner,dinners,,,,,,,,,,,,,,,,
direct,directs,directed,directing,directings,,,,,,,,,,,,,
direction,directions,,,,,,,,,,,,,,,,
directly,,,,,,,,,,,,,,,,,
director,directors,,,,,,,,,,,,,,,,
dirty,dirties,dirtied,dirtying,dirtier,dirtiest,,,,,,,,,,,,
disagree,disagrees,disagreed,disagreeing,disagreeings,,,,,,,,,,,,,
disappear,disappears,disappeared,disappearing,disappearings,,,,,,,,,,,,,
disappoint,disappoints,disappointed,disappointing,disappointings,,,,,,,,,,,,,
disaster,disasters,,,,,,,,,,,,,,,,
discipline,disciplines,disciplined,disciplining,disciplinings,,,,,,,,,,,,,
discount,discounts,discounted,discounting,discountings,,,,,,,,,,,,,
discover,discovers,discovered,discovering,discoverings,,,,,,,,,,,,,
discovery,discoveries,,,,,,,,,,,,,,,,
discuss,discussed;discusses,discussed;discussing,discussing;discussings,discussings,,,,,,,,,,,,,
discussion,discussions,,,,,,,,,,,,,,,,
disease,diseases,diseased,,,,,,,,,,,,,,,
dish,dishes,dished,dishing,dishings,,,,,,,,,,,,,
disk,disks,disc,discs,,,,,,,,,,,,,,
dismiss,dismisses,dismissed,dismissing,dismissings,,,,,,,,,,,,,
disorder,disorders,disordered,disordering,disorderings,,,,,,,,,,,,,
display,displays,displayed,displaying,displayings,,,,,,,,,,,,,
dispute,disputes,disputed,disputing,disputings,,,,,,,,,,,,,
distance,distances,distanced,distancing,distancings,,,,,,,,,,,,,
distant,,,,,,,,,,,,,,,,,
distinct,,,,,,,,,,,,,,,,,
distinction,distinctions,,,,,,,,,,,,,,,,
distinguish,distinguishes,distinguished,distinguishing,distinguishings,,,,,,,,,,,,,
distribute,distributes,distributed,distributing,distributings,,,,,,,,,,,,,
district,districts,,,,,,,,,,,,,,,,
disturb,disturbs,disturbed,disturbing,disturbings,,,,,,,,,,,,,
diversity,diversities,,,,,,,,,,,,,,,,
divide,divides,divided,dividing,dividings,,,,,,,,,,,,,
division,divisions,,,,,,,,,,,,,,,,
divorce,divorces,divorced,divorcing,divorcings,,,,,,,,,,,,,
do,did;does,did;doing,doing;doings,doings;done,doesn;done,didn;doesn,didn;doin,doin,,,,,,,,,
doctor,doctored;doctors,doctored;doctoring,doctoring;dr,dr,,,,,,,,,,,,,
document,documented;documents,documented;documenting,documenting;documentings,documentings,,,,,,,,,,,,,
dog,dogged;dogs,dogged;dogging,dogging;doggings,doggings,,,,,,,,,,,,,
dollar,dollars,,,,,,,,,,,,,,,,
domestic,domestics,,,,,,,,,,,,,,,,
dominate,dominates,dominated,dominating,dominatings,,,,,,,,,,,,,
door,doors,,,,,,,,,,,,,,,,
double,doubles,doubled,doubling,doublings,,,,,,,,,,,,,
doubt,doubts,doubted,doubting,doubtings,,,,,,,,,,,,,
down,downed;downs,downed;downing,downing;downings,downings,,,,,,,,,,,,,
dozen,dozens,,,,,,,,,,,,,,,,
draft,drafts,drafted,drafting,draught,draughts,,,,,,,,,,,,
drag,drags,dragged,dragging,draggings,,,,,,,,,,,,,
drama,dramas,,,,,,,,,,,,,,,,
dramatic,dramatics,,,,,,,,,,,,,,,,
dramatically,,,,,,,,,,,,,,,,,
draw,draws;drew,drawing;drew,drawing;drawn,drawed;drawn,drawed;drawings,drawings,,,,,,,,,,,
dream,dreams,dreamed,dreaming,dreamings,dreamt,,,,,,,,,,,,
dress,dresses,dressed,dressing,dressings,,,,,,,,,,,,,
drink,drank;drinks,drank;drinking,drinkings;drunk,drinking,drinkings,,,,,,,,,,,,
drive,drives;drove,driving;drove,driven;driving,drived;driven,drived;droves,droves,,,,,,,,,,,
driver,drivers,,,,,,,,,,,,,,,,
drop,dropped;drops,dropped;dropping,dropping;droppings,droppings,,,,,,,,,,,,,
drug,drugs,drugged,drugging,druggings,,,,,,,,,,,,,
dry,dries,dried,drying,drier,driest,,,,,,,,,,,,
due,,,,,,,,,,,,,,,,,
during,,,,,,,,,,,,,,,,,
dust,dusts,dusted,dusting,dustings,,,,,,,,,,,,,
duty,duties,dutys,,,,,,,,,,,,,,,
each,,,,,,,,,,,,,,,,,
ear,ears,eared,,,,,,,,,,,,,,,
early,earlier;earliest,earliest,,,,,,,,,,,,,,,
earn,earns,earned,earning,earnings,,,,,,,,,,,,,
earth,earths,earthed,earthing,earthings,,,,,,,,,,,,,
ease,eases,eased,easing,easings,,,,,,,,,,,,,
easily,,,,,,,,,,,,,,,,,
east,easts,,,,,,,,,,,,,,,,
eastern,easterns,,,,,,,,,,,,,,,,
easy,easier;easiest,easiest,,,,,,,,,,,,,,,
eat,ate;eats,ate;eating,eaten;eating,eaten,,,,,,,,,,,,,
economic,economics,,,,,,,,,,,,,,,,
economy,economies,,,,,,,,,,,,,,,,
edge,edges,edged,edging,edgings,,,,,,,,,,,,,
edit,edits,edited,editing,editings,,,,,,,,,,,,,
edition,editions,editioned,editioning,editionings,,,,,,,,,,,,,
editor,editors,,,,,,,,,,,,,,,,
educate,educates,educated,educating,educatings,,,,,,,,,,,,,
education,educations,,,,,,,,,,,,,,,,
